w1,w2,w3,wans
Cottage,Swiss,Cake,Cheese 
Cream,Skate,Water,Ice 
Loser,Throat,Spot,Sore 
Show,Life,Row,Boat 
Night,Wrist,Stop,Watch 
Duck,Fold,Dollar,Bill 
Rocking,Wheel,High,Chair 
Dew,Comb,Bee,Honey 
Fountain,Baking,Pop,Soda 
Preserve,Ranger,Tropical,Forest 
Aid,Rubber,Wagon,Band 
Flake,Mobile,Cone,Snow 
Cracker,Fly,Fighter,Fire 
Safety,Cushion,Point,Pin 
Cane,Daddy,Plum,Sugar 
Dream,Break,Light,Day 
Fish,Mine,Rush,Gold 
Political,Surprise,Line,Party 
Measure,Worm,Video,Tape 
High,District,House,School 
Sense,Courtesy,Place,Common 
Worm,Shelf,End,Book
Piece,Mind,Dating,Game
Flower,Friend,Scout,Girl 
River,Note,Account,Bank
Print,Berry,Bird,Blue 
Pie,Luck,Belly,Pot 
Date,Alley,Fold,Blind 
Opera,Hand,Dish,Soap 
Cadet,Capsule,Ship,Space 
Fur,Rack,Tail,Coat 
Stick,Maker,Point,Match 
Hound,Pressure,Shot,Blood 
Fox,Man,Peep,Hole 
Sleeping,Bean,Trash,Bag 
Dust,Cereal,Fish,Bowl 
Light,Birthday,Stick,Candle 
Food,Forward,Break,Fast 
Shine,Beam,Struck,Moon 
Peach,Arm,Tar,Pit 
Water,Mine,Shaker,Salt 
Palm,Shoe,House,Tree 
Basket,Eight,Snow,Ball 
Wheel,Hand,Shopping,Cart
Right,Cat,Carbon,Copy
Home,Sea,Bed,Sick 
Nuclear,Feud,Album,Family 
Sandwich,House,Golf,Club 
Cross,Rain,Tie,Bow
Sage,Paint,Hair,Brush 
French,Car,Shoe,Horn
Boot,summer,Ground,Camp
Chamber,Mask,Natural,Gas
Mill,Tooth,Dust,Saw
Main,Sweeper,Light,Street
Pike,Coat,Signal,Turn
Office,Mail,Sand,Box
Fly,Clip,Wall,Paper
Age,Mile,Sand,Stone
Catcher,Food,Hot,Dog
Wagon,Break,Radio,Station
Tank,Hill,Secret,Top
Health,Taker,Less,Care
Lift,Card,Mask,Face
Dress,Dial,Flower,Sun
Force,Line,Mail,Air
Guy,Rain,Down,Fall
Eight,Skate,Stick,Figure
Down,Question,Check,Mark
Animal,Back,Rat,Pack
Officer,Cash,Larceny,Petty
Pine,Crab,Sauce,Apple
House,Thumb,Pepper,Green
Carpet,Alert,Ink,Red
Master,Toss,Finger,Ring
Hammer,Gear,Hunter,Head
Knife,Light,Pal,Pen
Foul,Ground,Mate,Play
Change,Circuit,Cake,Short
Blank,List,Mate,Check
Tail,Water,Flood,Gate
Way,Board,Sleep,Walk
Marshal,Child,Piano,Grand
Cover,Arm,Water,Under
Rain,Test,Stomach,Acid
Time,Blown,Nelson,Full
Oile,Market,Room,Stock
Mouse,Bear,Sand,Trap
Cat,Number,Phone,Call
Keg,Puff,Room,Powder
Trip,House,Goal,Field
Fork,Dark,Man,Pitch
Fence,Card,Master,Post
Test,Runner,Map,Road
Dive,Light,Rocket,Sky
Man,Glue,Star,Super
Tooth,Potato,Heart,Sweet
Illness,Bus,Computer,Terminal
Type,Ghost,Screen,Writer
Mail,Board,Lung,Black
Teeth,Arrest,Start,False
Iron,Shovel,Engine,Steam
Rope,Truck,Line,Tow
Wet,Law,Business,Suit
Off,Military,First,Base
Spoon,Cloth,Card,Table
Cut,Cream,War,Cold
Note,Chain,Master,Key
Shock,Shave,Taste,After
Wise,Work,Tower,Clock
Grass,King,Meat,Crab
Baby,Spring,Cap,Shower
Break,Bean,Cake,Coffee
Cry,Front,Ship,Battle
Hold,Print,Stool,Foot
Roll,Bean,Fish,Jelly
Horse,Human,Drag,Race
Oil,Bar,Tuna,Salad
Bottom,Curver,Hop,Bell
Tomato,Bomb,Picker,Cherry
Pea,Shell,Chest,Nut
Line,Fruit,Drunk,Punch
Bump,Egg,Step,Goose
Fight,Control,Machine,Gun
Home,Arm,Room,Rest
Child,Scan,Wash,Brain
Nose,Stone,Bear,Brown
End,Line,Lock,Dead
Control,Place,Rate,Birth
Lounge,Hour,Napkin,Cocktail
Artist,Hatch,Route,Escape
Pet,Bottom,Garden,Rock
Mate,Shoe,Total,Running
Self,Attorney,Spending,Defense
Board,Blade,Back,Switch
Land,Hand,House,Farm
Hungry,Order,Belt,Money
Forward,Flush,Razor,Straight
Shadow,Chart,Drop,Eye
Way,Ground,Weather,Fair
Cast,Side,Jump,Broad
Back,Step,Screen,Door
Reading,Service,Stick,Lip
Over,Plant,Horse,Power